filename,word_count,long_video,deep_review_priority,novelty_score,coverage_score,rules_hit,rules_list
"Traded with 90% Accuracy +$3,365! Ross' Trade Recap.txt",4395,True,True,0.993,0.007,11,SCRN-003_float|SCRN-005_daily_chart_room|SCRN-009_short_interest|ENTR-003_dollar_levels|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|PROF-002_scale_out|MKTCOND-004_overall_market|TIMING-001_premarket_watch|TIMING-003_midday_dead|TIMING-005_session_length
$1 Million Dollar Challenge Complete! Ross's Trade Recap.txt,7445,True,True,0.9929,0.0071,10,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|ENTR-003_dollar_levels|PROF-001_dont_cap_green|PROF-004_size_up_hot|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
-$37k on (NASDAQ ORPH UTME) (NYSE AMC) Recap by Ross Cameron.txt,5334,True,True,0.9929,0.0071,6,SCRN-001_news_catalyst|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|TIMING-001_premarket_watch
2019 Year in Review - Big ups and Big downs! +$367k.txt,7209,True,True,0.9929,0.0071,3,ENTR-003_dollar_levels|MKTCOND-005_seasonal|TIMING-003_midday_dead
Trade Recap Things Are Looking Up.txt,6843,True,True,0.9928,0.0072,13,SCRN-002_relative_volume|SCRN-003_float|SCRN-004_price_range|SCRN-010_front_back_side|ENTR-003_dollar_levels|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|PROF-002_scale_out|PROF-004_size_up_hot|MKTCOND-003_cheap_gappers|MKTCOND-005_seasonal|TIMING-003_midday_dead
Big Green Month Day Trading January Month in Review.txt,3618,True,True,0.9927,0.0073,8,SCRN-001_news_catalyst|SCRN-005_daily_chart_room|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-004_overall_market|TIMING-001_premarket_watch
Choppy Tuesday! Bank volatility continues.txt,1241,False,False,0.9927,0.0073,3,PROF-005_cold_market|TIMING-001_premarket_watch|TIMING-002_opening_range
Worst Loss of 2022 & Day Trading Psychology by Ross Cameron.txt,6120,True,True,0.9927,0.0073,10,SCRN-003_float|SCRN-007_foreign_stocks|ENTR-008_double_bottom|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|PROF-005_cold_market|TIMING-003_midday_dead|TIMING-004_no_trade_days|TIMING-006_power_hour
Tough Markets to Trade Through -$4k Recap by Ross Cameron.txt,1529,True,True,0.9926,0.0074,3,SCRN-003_float|PROF-004_size_up_hot|PROF-005_cold_market
$BAER +126% Gap and Go.txt,2703,True,True,0.9925,0.0075,9,SCRN-010_front_back_side|ENTR-003_dollar_levels|ENTR-004_micro_pullback|STOP-001_macd_hands_off|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range
+58k in 2 days on $ANVS Live Recap with Ross Cameron.txt,2157,True,True,0.9925,0.0075,5,SCRN-001_news_catalyst|ENTR-004_micro_pullback|STOP-004_thirty_pct_soft_stop|TIMING-001_premarket_watch|TIMING-002_opening_range
"Day 32 of the $100k Challenge +$6,367.66.txt",6227,True,True,0.9925,0.0075,11,SCRN-001_news_catalyst|SCRN-002_relative_volume|SCRN-003_float|SCRN-005_daily_chart_room|SCRN-009_short_interest|ENTR-002_fcnh|ENTR-003_dollar_levels|STOP-007_position_stop|PROF-004_size_up_hot|TIMING-002_opening_range|TIMING-003_midday_dead
LOSING $150k DAY TRADING.txt,9455,True,True,0.9925,0.0075,10,ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-004_overall_market|MKTCOND-005_seasonal
Makin' Money at The Hotel Ross' Trade Recap.txt,3310,True,True,0.9925,0.0075,9,ENTR-002_fcnh|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-002_scale_out|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-003_cheap_gappers|MKTCOND-005_seasonal|TIMING-003_midday_dead
Red in All of My Active Accounts -$12k Ross's Trade Recap.txt,3033,True,True,0.9925,0.0075,4,SCRN-003_float|ENTR-002_fcnh|STOP-003_fifty_pct_daily_stop|MKTCOND-002_leading_gapper
There is Always Hope +$685! Ross' Trade Recap.txt,6304,True,True,0.9925,0.0075,8,SCRN-004_price_range|SCRN-009_short_interest|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|PROF-005_cold_market|MKTCOND-001_cold_hot_framework|MKTCOND-004_overall_market|MKTCOND-005_seasonal
It all began as a New Year's Resolution....txt,10138,True,True,0.9924,0.0076,19,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-008_sector_theme|SCRN-010_front_back_side|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-005_vwap|ENTR-007_order_spoofing|STOP-003_fifty_pct_daily_stop|STOP-006_halt_offering|PROF-001_dont_cap_green|PROF-002_scale_out|PROF-003_daily_goals|MKTCOND-003_cheap_gappers|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-005_session_length
+$17k On The Week! Ross's Trade Recap.txt,2829,True,True,0.9923,0.0077,10,SCRN-004_price_range|SCRN-005_daily_chart_room|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-005_session_length
The Story of How I Lost $20k in 90 Seconds Day Trading.txt,8643,True,True,0.9923,0.0077,15,SCRN-001_news_catalyst|SCRN-003_float|ENTR-004_micro_pullback|STOP-001_macd_hands_off|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-001_dont_cap_green|PROF-004_size_up_hot|PROF-005_cold_market|PROF-006_start_small|MKTCOND-002_leading_gapper|MKTCOND-004_overall_market|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-006_power_hour
+$18k recovery +$3k Net On The Day 2nd Recap by Ross Cameron.txt,3714,True,True,0.9922,0.0078,7,ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-008_double_bottom|STOP-001_macd_hands_off|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|TIMING-003_midday_dead
+$6k $MRM $ARQQ $HLBZ Recap by Ross Cameron.txt,1980,True,True,0.9921,0.0079,5,SCRN-003_float|ENTR-009_topping_tails|STOP-007_position_stop|TIMING-001_premarket_watch|TIMING-002_opening_range
"Day 6 Daily Recap +$11,050.51 on $DFFN and +180% on my Small Account.txt",8245,True,True,0.992,0.008,14,SCRN-001_news_catalyst|SCRN-002_relative_volume|SCRN-003_float|SCRN-005_daily_chart_room|SCRN-009_short_interest|ENTR-002_fcnh|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-002_scale_out|PROF-004_size_up_hot|MKTCOND-004_overall_market|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
HOW AM I RED ON $SGD.txt,2893,True,True,0.992,0.008,7,SCRN-009_short_interest|ENTR-002_fcnh|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
It's almost Valentine's Day but there's NO LOVE in the market for me!.txt,4411,True,True,0.992,0.008,9,SCRN-001_news_catalyst|SCRN-009_short_interest|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-007_order_spoofing|PROF-005_cold_market|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-003_midday_dead
Trading Like I'm Shootin' Fish in a Barrel!.txt,2538,True,True,0.992,0.008,6,SCRN-004_price_range|SCRN-005_daily_chart_room|ENTR-002_fcnh|ENTR-003_dollar_levels|PROF-002_scale_out|TIMING-003_midday_dead
Trading on my Laptop!.txt,3071,True,True,0.992,0.008,8,SCRN-001_news_catalyst|SCRN-003_float|SCRN-006_reverse_splits|PROF-001_dont_cap_green|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-005_session_length
+$56k on (NASDAQ LEDS) Recap by Ross Cameron.txt,4040,True,True,0.9919,0.0081,6,SCRN-001_news_catalyst|SCRN-004_price_range|ENTR-004_micro_pullback|STOP-006_halt_offering|PROF-004_size_up_hot|TIMING-002_opening_range
7th Green Day +$3k Ross's Trade Recap.txt,1861,True,True,0.9919,0.0081,6,ENTR-002_fcnh|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range
Green During Crazy Markets +$3k! Ross's Trade Recap.txt,7016,True,True,0.9919,0.0081,12,SCRN-004_price_range|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-009_topping_tails|STOP-003_fifty_pct_daily_stop|STOP-007_position_stop|PROF-004_size_up_hot|MKTCOND-004_overall_market|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
$ENSC +100%.txt,1362,False,False,0.9918,0.0082,6,SCRN-004_price_range|STOP-003_fifty_pct_daily_stop|PROF-005_cold_market|MKTCOND-002_leading_gapper|TIMING-002_opening_range|TIMING-004_no_trade_days
-$25k on (NASDAQ ORPH UTME ALF) Recap by Ross Cameron.txt,5846,True,True,0.9918,0.0082,10,SCRN-002_relative_volume|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|PROF-001_dont_cap_green|PROF-005_cold_market|PROF-006_start_small|MKTCOND-001_cold_hot_framework|TIMING-002_opening_range|TIMING-006_power_hour
Day 23 +$6k on APDN Ross's Trade Recap.txt,3636,True,True,0.9918,0.0082,10,SCRN-009_short_interest|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-005_vwap|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|MKTCOND-004_overall_market|TIMING-002_opening_range|TIMING-003_midday_dead
Falling For FOMO -$23k Recap by Ross Cameron.txt,7137,True,True,0.9918,0.0082,14,SCRN-005_daily_chart_room|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-007_position_stop|PROF-001_dont_cap_green|PROF-004_size_up_hot|PROF-005_cold_market|PROF-006_start_small|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-004_no_trade_days
My Worst Loss in 5 Years Red Trade Recap.txt,9070,True,True,0.9917,0.0083,13,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-005_daily_chart_room|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|ENTR-006_bull_flag|ENTR-009_topping_tails|STOP-007_position_stop|PROF-001_dont_cap_green|MKTCOND-005_seasonal|TIMING-003_midday_dead
Sad Day Recap Ross' Trade Recap.txt,3206,True,True,0.9917,0.0083,9,SCRN-004_price_range|ENTR-003_dollar_levels|ENTR-004_micro_pullback|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-002_leading_gapper|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead
"The Markets Red, I'm Green, +$3k Ross's Trade Recap.txt",2508,True,True,0.9917,0.0083,2,ENTR-003_dollar_levels|MKTCOND-004_overall_market
+$437.50 on Two Short Trades Recap by Ross Cameron.txt,493,False,False,0.9916,0.0084,2,ENTR-009_topping_tails|PROF-005_cold_market
+7k Profit While Quarantined! Ross's Trade Recap.txt,3504,True,True,0.9916,0.0084,8,SCRN-003_float|SCRN-004_price_range|ENTR-003_dollar_levels|STOP-007_position_stop|PROF-004_size_up_hot|MKTCOND-002_leading_gapper|MKTCOND-004_overall_market|TIMING-002_opening_range
2nd Day of Trader Rehab Ross's Trade Recap.txt,2583,True,True,0.9916,0.0084,5,SCRN-004_price_range|ENTR-002_fcnh|ENTR-003_dollar_levels|ENTR-004_micro_pullback|TIMING-003_midday_dead
Doubles! Two Trades & Two Winners Ross' Trade Recap.txt,3170,True,True,0.9916,0.0084,7,SCRN-003_float|SCRN-004_price_range|MKTCOND-002_leading_gapper|MKTCOND-004_overall_market|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range
Fighting FOMO and Finishing Green! +$18k Recap by Ross Cameron.txt,1618,True,True,0.9916,0.0084,5,SCRN-001_news_catalyst|SCRN-010_front_back_side|MKTCOND-004_overall_market|TIMING-001_premarket_watch|TIMING-003_midday_dead
Back in The Green! [AhvAEiXm7eg].txt,1989,True,True,0.9915,0.0085,6,SCRN-004_price_range|ENTR-003_dollar_levels|ENTR-004_micro_pullback|PROF-005_cold_market|TIMING-002_opening_range|TIMING-003_midday_dead
Great Shame -$50k on (NASDAQ CARV) Recap by Ross Cameron.txt,2146,True,True,0.9915,0.0085,6,SCRN-004_price_range|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|STOP-004_thirty_pct_soft_stop|STOP-005_fifty_pct_retrace|TIMING-003_midday_dead
I Don't Even Know How Much I Made! Ross's Trade Recap.txt,3086,True,True,0.9915,0.0085,9,SCRN-003_float|ENTR-003_dollar_levels|STOP-003_fifty_pct_daily_stop|PROF-003_daily_goals|PROF-004_size_up_hot|MKTCOND-001_cold_hot_framework|MKTCOND-002_leading_gapper|MKTCOND-004_overall_market|TIMING-003_midday_dead
My Biggest Loss...My Biggest Come Back.txt,11797,True,True,0.9915,0.0085,16,SCRN-001_news_catalyst|SCRN-003_float|SCRN-004_price_range|SCRN-005_daily_chart_room|ENTR-003_dollar_levels|ENTR-004_micro_pullback|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|PROF-003_daily_goals|PROF-004_size_up_hot|PROF-005_cold_market|MKTCOND-005_seasonal|TIMING-001_premarket_watch|TIMING-002_opening_range|TIMING-003_midday_dead|TIMING-006_power_hour
Recovery Day 2.txt,2015,True,True,0.9915,0.0085,6,SCRN-001_news_catalyst|SCRN-004_price_range|SCRN-006_reverse_splits|STOP-003_fifty_pct_daily_stop|PROF-001_dont_cap_green|MKTCOND-001_cold_hot_framework
